gl0325mlg8,,Supermarket,GooglePay,-300.0,food,2020-05-30 09:29:43,,tr1e196prg
ji87weu5uq,,Alipay,Hospital,1000.0,debt,2019-12-27 04:53:25,,tbq8dwywi6
ooy5w4pnav,,University,Paypal,-600.0,personal,2020-03-19 08:25:39,bxxkaabibekztdwdukobclriqilujmroagpregxmbwjgwvqtdc,fridnhzmm3
xz73hctheo,,Venmo,Hospital,3200.0,debt,2019-08-04 04:13:27,,p9ucnlyfx4
ez0y3ct7wh,,GooglePay,Supermarket,500.0,finance,2019-05-04 03:32:52,,jfelwa65hc
yjzx2y8uav,,Restaurant,Paypal,-1300.0,education,2019-02-07 05:03:06,,8t3wjlkqqs
4k59yd3nk3,,Alipay,Restaurant,3600.0,personal,2020-05-26 09:39:15,fypgsqloslrdwxuetclprztpawmtuxmxlbshijfsxfhdrhvqaj,r0rdas9ub8
uwr9dk8zs8,gift-Check-Art-2600,Check,Art,2600.0,gift,2020-01-25 03:48:30,,8mo1z2wuhp
8d7u6l3dfp,food-_-_-3600,,,3600.0,food,2019-11-12 22:27:05,,3qhg9f4ik1
ywmmbjlswo,,University,Check,-500.0,utilities,2019-05-29 01:14:19,,v3ims5c81x
eoxewmty4p,,Paypal,Restaurant,2900.0,clothing,2020-03-08 15:37:41,fxwxcrkelzgxdzviqycbxcnpraoaxadosmfzgyftechbwjiyds,do6j3dxt3p
3j6f7x4d0o,,Restaurant,Check,-700.0,finance,2020-04-27 16:06:50,dkmykritvuftiuzcmxyvyxlwxolixquthkvvatpughgnagrvjk,tnhqq25or9
jpccbb1nke,,University,GooglePay,-4500.0,,2020-04-24 07:03:50,skjqjxierzwexhfxjwgadvrkdtvtjogbvkwygqtahugfserqum,el6tjafof8
w1ld2i3x6s,food-Venmo-Art-2200,Venmo,Art,2200.0,food,2020-03-12 05:02:20,ndfrfwldvbnlzfpetuegceuocuxkqkuxecavnhfqhqribynibt,v6dvmoxe2v
mhjvgc3trr,,Supermarket,Check,-700.0,tax,2019-01-03 14:31:10,mudpiqrawgwyirmapmxcpqfqiphemhyqaqeglfuwnyxphsdooi,avt8ota0we
pn2rahk1gc,,Venmo,,2800.0,,2019-09-10 00:55:43,cwcevlauxkbxlvkwoxanpztggrweiyimlzhrnjmkhrblvjgxxq,r52kpa5dv2
rfe3drz36h,,University,Cash,-2400.0,transport,2019-05-15 15:53:33,zmbjqdzsfmafymiefkojhxlbroxaekuijtajwpexdvirdtjnan,hmdxyqw7vi
jyos8d7ia3,,Apartment,CreditCard,-2000.0,personal,2020-02-27 09:49:19,,7040k8ngh6
j7b1idr7gv,,ApplePay,Supermarket,3500.0,health,2019-02-27 23:56:18,htfsbjsaaomlbdtsunxpsrqnghsojvfubgcwgbjcblaczfdbao,y6s4h3ebw8
8aob4k0up1,_-_-GooglePay--4900,,GooglePay,-4900.0,,2019-10-06 01:31:40,dnujsdgeboqpjxaivalakkdvtchfkuiyccpctjqmhqcnqykugv,z2ttmq5f3i
80kpu7ufif,,ApplePay,University,2700.0,gift,2020-10-22 17:30:18,bglbasrusagkjvhjrzrlrvaostqcushcsmrhvortstacubnsyo,3u69dfha5u
l6180owpl2,,Transportation,ApplePay,-1600.0,clothing,2019-12-03 02:58:22,,axf3smv3z5
z27jh1fcha,,Hospital,Check,-600.0,entertain,2020-03-05 00:40:18,,2187et43ep
