li6hu9gkwq,kmph,1009.66,182
wrery5om77,ohai,1827.01,162
d0ky6yny87,rvsb,1143.61,100
5kthfowqt9,rdwr,1289.62,161
o7u9nni2yj,dnkn,368.88,104
hwvf4nt793,pcty,1865.99,150
09fq4ohsjx,apvo,108.69,178
825on83dbj,kmda,1734.51,138
9brupbdcbo,hckt,1117.67,175
rexp7sjtrc,albo,348.71,149
l4oyam50zk,apop,981.16,183
41e674znhq,dwat,407.74,125
1fdne2keqx,cyan,388.93,129
6d3km5eiyg,ta,763.99,115
stvlaskb22,vnom,1660.55,101
0tkfg3bski,snna,736.84,95
9135q4nvrc,cwbc,292.67,159
5z068nt4ww,adro,1341.9,133
cipoyxvd0u,mtsc,955.31,92
sp329xrrwx,any,699.84,98
pewatlnb83,msbf,1206.64,61
6d3km5eiyg,gfnsl,1688.17,73
jopmeq0qal,avav,1276.5,98
hi8hxxrxde,wvvi,125.32,180
x8euf87c6y,uthr,150.07,56
3a8sxw9pd0,pscd,1048.1,102
0rjzw36zhl,self,1367.0,99
kl3c2rngds,regn,1417.85,86
7ffu2yz849,cmpr,1436.67,101
825on83dbj,ibtx,1500.24,96
wb8ooky581,adp,685.71,77
ouyt5wdv0j,cpah,1176.3,162
v2i2pd1rxa,tcpc,443.99,147
6utji8hje9,sina,1649.11,112
66jde2jooe,cdxs,1634.88,129
sg1qrhw68e,hiiq,692.77,179
l07dopgbav,smmt,170.37,65
4b3vw73g7v,fsct,103.51,186
zlrrc7wd6g,hibb,734.8,134
gqec6aj6hv,aobc,962.34,103
hi8hxxrxde,pval,1724.32,68
51whmqqem3,wkhs,182.28,121
seduuobl4u,aaxn,1704.86,173
zdg6dk84gt,lyl,1720.63,73
8bow72n40d,kblmr,1737.46,142
lg7ctbpvlh,kbwr,1806.97,176
jdvpa9oc5u,mtp,627.86,97
id37ol9yin,sgma,1159.96,136
wov6f5this,mrtx,679.85,125
2rkymfi845,uihc,384.0,148
gx170jrbrb,pinc,728.04,51
kgd42zixzd,chek,283.41,95
99z5k15864,grbk,382.66,76
fv71t3diwl,gpor,1082.17,173
n7gbzg8xoj,klac,1280.01,120
lhwi7l92oo,nvtr,201.28,123
8p24zi0e7b,esca,381.6,170
ruwapz3ble,myl,1746.79,159
9h1ur140ub,tts,1631.33,188
7rt2aaqtmi,bioc,560.44,181
saxt3lhr7j,gevo,1058.81,146
s8x3yx5coc,leds,716.14,98
prs6uts1gt,watt,1069.69,54
0r28o7t5mj,mlhr,1053.94,75
olqx7hk5me,mays,988.55,51
5kvmpiz4yd,fosl,276.16,169
qdww5t6rp4,umpq,738.88,67
kgd42zixzd,feye,358.03,126
gmaal1wrpe,sypr,1528.3,120
36qxtkxbqb,gulf,618.81,59
ulngyfnd28,qcln,236.01,78
5x9g4laya5,imte,939.1,99
qnl3gz9dqg,cizn,127.29,181
2q1kk2sw4c,ffhl,1745.43,96
3njlj83g9k,mtfb,1769.91,81
uyh6udedst,tnxp,1423.87,90
s0bsr0y8yu,epzm,1708.72,175
fps6ob0f7o,pcyo,622.55,75
3a8sxw9pd0,cey,367.02,115
t8tj6gsgpj,veon,366.71,157
kp4zkgxk3g,stmp,1252.96,193
k4jgxibev2,pavmw,1114.86,103
